SOC,R0 [Ohm],R1 [Ohm],R2 [Ohm],tau1 [s],tau2 [s],Temperature_degC
0.05,0.39992680726269875,0.09999761542418378,0.09999906617151653,179.99017079651966,179.99075201160898,5
0.17703636252480418,0.39992680726269875,0.09999761542418378,0.09999906617151653,179.99017079651966,179.99075201160898,5
0.20945173642886844,0.2566641713603516,0.09999996255788177,0.09999997845148945,109.3755031632958,109.37588821079717,5
0.24320060981949432,0.20705783366307295,0.0999968798353455,0.09999727072619521,179.99674072316014,179.99701017963423,5
0.2841084282816071,0.18865555925197303,0.03424380786123806,0.09999353540572757,6.682248449321425,179.92295954270494,5
0.32501640322274167,0.18691023549022578,0.03176037678070043,0.08080360392010513,7.176892693407873,179.9614941030873,5
0.36592443175942385,0.188324421492709,0.03040831164415456,0.06717426015979858,10.871794643214322,179.98638265887416,5
0.4068324277395148,0.18819010098164587,0.03009250345089012,0.054916959182680136,13.014037918513157,166.60577138946383,5
0.4477404189782863,0.18430752168265743,0.02875321077745318,0.0470233061959701,9.48773949617838,123.29780134801251,5
0.4886482843976112,0.18327869429579205,0.027376467120054065,0.04107384734701001,7.694511352213096,96.14283578037339,5
0.5295561261295081,0.1798544800804721,0.026716031875689206,0.03824510224245864,5.0,69.24621950624152,5
0.5704640625732743,0.18171832920815892,0.02620302312288186,0.03586665472608344,5.0,53.61375564402119,5
0.6113719704996999,0.18384763160258083,0.025887602570062392,0.038161212874268005,5.006169414878254,39.99294662274753,5
0.6522797128264299,0.18538555660610057,0.02807674348953612,0.04570868314919909,5.000000000000847,44.43223267017879,5
0.6931871973837762,0.18502887415846658,0.034526542124500466,0.05122301801985748,5.000010940582505,63.766365661280645,5
0.7340951261209047,0.18538124397055933,0.03646176164969396,0.05154391324345729,5.000000000001503,71.89777056092974,5
0.7750031999766361,0.18620215580362642,0.03709848970509435,0.0490342049556819,5.0000000000007025,72.3013063845815,5
0.8159111936375175,0.18740044701247688,0.036987787303208126,0.045556879740612545,5.000000000000001,67.42144462257569,5
0.8568192901035628,0.18992172683625905,0.03651707243940947,0.041903167751302116,5.0,62.84197052943808,5
0.8977278655926646,0.19230231190591243,0.03751301987364154,0.03761258457477766,5.000062239758464,62.82980887767293,5
0.938636907202356,0.19467047956155956,0.03889408939740754,0.03252625061613537,5.0,61.48668683802737,5
0.9795457262381783,0.1992663949491971,0.03941960059988932,0.028765923896338256,5.000997359797278,53.73727668433843,5
1.01,0.1992663949491971,0.03941960059988932,0.028765923896338256,5.000997359797278,53.73727668433843,5
0.05,0.16618069363565238,0.09999999999999998,0.1,179.99755319329566,180.0,10
0.1613575609271036,0.16618069363565238,0.09999999999999998,0.1,179.99755319329566,180.0,10
0.2022684781489082,0.158116823198543,0.08406812011306675,0.06629412041794834,179.99518826311697,179.99794712993602,10
0.24317801130183642,0.14160535152814493,0.02565674906802299,0.07963112951804924,7.828834559621854,180.0,10
0.28408735777382743,0.14100709411114615,0.024777924049169765,0.06149214814467195,11.230478819000389,180.0,10
0.3249965820845236,0.13993014845627846,0.02384916458502506,0.05544185027210463,12.554700258732085,179.91650980792397,10
0.36590577773731187,0.13954653153892566,0.024069384592642087,0.049142638122598205,14.627980792681239,179.99098610165169,10
0.4068151305610124,0.13946095374854017,0.023904506473887872,0.04150103759787131,16.062244460946594,166.44785440764926,10
0.44772468057105014,0.1394423651477071,0.026128161320288057,0.03269860848425063,18.501221159883418,166.16210898608387,10
0.48863384825460343,0.13770862839332898,0.0230774863804409,0.028303559446159282,12.893345980424895,101.5255054721583,10
0.5295429078374125,0.13644173975534904,0.022061471305739166,0.025725711414089036,11.140005045483534,78.67194707864347,10
0.570452215734108,0.13494556964499715,0.01862191248187496,0.03152758111099377,5.0,47.145222731031254,10
0.6113615526911432,0.1367587099640389,0.01684442434301047,0.03670053531204672,5.017297554360863,36.42797691986809,10
0.6522708431186519,0.13664098839964003,0.019662656870333223,0.04451444752334972,5.005469490089094,45.72941112541996,10
0.6931799978270932,0.1363586257533378,0.024825939284773304,0.04908348447603127,5.328109362294745,66.84379143494404,10
0.7340892086963114,0.14097259288115768,0.029502358676890043,0.04188496048212967,11.707644893776083,93.52188068474135,10
0.7749985899920598,0.1404481921374044,0.027655842320517897,0.043247095890456604,8.042317365982724,82.6013444953718,10
0.815907901014962,0.14108948490962736,0.027591695151476664,0.040785004999900204,6.523710642004189,74.87321787149055,10
0.8568172757935653,0.14229444310088718,0.027369750108248273,0.038676320721303115,5.000000000000253,65.2573881953715,10
0.8977266056740884,0.14587422556662624,0.026545435886795858,0.0354978383979307,5.0,57.284836128424544,10
0.9386358335582975,0.15082515076541514,0.029424559372289143,0.02939638395280039,5.0,61.83785398685983,10
0.9795452503646227,0.15901691456752684,0.02862466645114727,0.0260811509969604,5.001251341598619,45.28046042165236,10
1.01,0.15901691456752684,0.02862466645114727,0.0260811509969604,5.001251341598619,45.28046042165236,10
0.05,0.1261061881982622,0.03299283301089792,0.09880143163330012,179.99915039572562,179.9998580463678,15
0.1613577860300717,0.1261061881982622,0.03299283301089792,0.09880143163330012,179.99915039572562,179.9998580463678,15
0.20226856296186796,0.10579837954415867,0.022008285724918992,0.0878392773728648,5.193746586913423,179.96710034166557,15
0.24317774468834177,0.10661286546511178,0.022881502077331764,0.05500402484740503,11.892602721257909,180.0,15
0.28408695595047817,0.1051258382135228,0.02098940303603057,0.04630418208159929,13.144421955621125,180.0,15
0.3249961340450653,0.1035309964712455,0.01934655930959233,0.04740017565246286,12.378391897178203,180.0,15
0.36590524020639986,0.10319894327435258,0.019870694333323644,0.04339644594764458,15.037464116277315,180.0,15
0.4068145067952438,0.1031197308063438,0.020763944450364395,0.03581402731339173,16.8133655731187,179.95236866728462,15
